Info 0    [16:40:16.966] Starting TS Server
Info 1    [16:40:16.967] Version: 3.9.7
Info 2    [16:40:16.967] Arguments: /usr/local/Cellar/node/14.5.0/bin/node /usr/local/bin/tsserver --logFile /Users/keke/keke-cute.github.io/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/66/hp617k9x0hq6443vm244gtlr0000gn/T/e62eceecd08db3b773bd8d21b33bdd68/tscancellation*
Info 3    [16:40:16.967] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [16:40:16.980] Search path: /Users/keke/keke-cute.github.io/test/javascript
Info 5    [16:40:16.982] For info: /Users/keke/keke-cute.github.io/test/javascript/arrowfunc.js :: No config files found.
Info 6    [16:40:16.987] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [16:40:17.744] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 756ms
Info 8    [16:40:17.744] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [16:40:17.744] 	Files (6)

Info 10   [16:40:17.744] -----------------------------------------------
Info 11   [16:40:18.154] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [16:40:18.155] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 1ms
Info 13   [16:40:20.406] Before ensureProjectForOpenFiles:
Info 14   [16:40:20.409] After ensureProjectForOpenFiles:
Info 15   [16:40:20.409] got projects updated in background, updating diagnostics for /Users/keke/keke-cute.github.io/test/javascript/arrowfunc.js
Info 16   [16:40:23.232] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [16:40:23.245] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 12ms
Info 18   [16:40:23.245] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 19   [16:40:28.474] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [16:40:28.480] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 5ms
Info 21   [16:40:28.480] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 22   [16:40:28.650] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [16:40:28.655] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 5ms
Info 24   [16:40:28.655] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 25   [16:40:28.657] getCompletionData: Get current token: 0
Info 26   [16:40:28.657] getCompletionData: Is inside comment: 0
Info 27   [16:40:28.657] getCompletionData: Get previous token 1: 0
Info 28   [16:40:28.657] getCompletionData: Get previous token 2: 0
Info 29   [16:40:28.657] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 30   [16:40:28.664] getCompletionData: Semantic work: 7
Info 31   [16:40:28.676] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 11
Info 32   [16:40:28.933] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [16:40:28.938] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 5ms
Info 34   [16:40:28.938] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 35   [16:40:28.939] getCompletionData: Get current token: 0
Info 36   [16:40:28.939] getCompletionData: Is inside comment: 0
Info 37   [16:40:28.939] getCompletionData: Get previous token 1: 0
Info 38   [16:40:28.939] getCompletionData: Get previous token 2: 0
Info 39   [16:40:28.939] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 40   [16:40:28.943] getCompletionData: Semantic work: 4
Info 41   [16:40:28.951] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8
Info 42   [16:40:28.973] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 43   [16:40:28.976] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 3ms
Info 44   [16:40:28.976] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 45   [16:40:28.976] getCompletionData: Get current token: 0
Info 46   [16:40:28.976] getCompletionData: Is inside comment: 0
Info 47   [16:40:28.977] getCompletionData: Get previous token 1: 1
Info 48   [16:40:28.977] getCompletionData: Get previous token 2: 0
Info 49   [16:40:28.977] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 50   [16:40:28.981] getCompletionData: Semantic work: 4
Info 51   [16:40:28.994] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 13
Info 52   [16:40:29.401] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 53   [16:40:29.403] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 2ms
Info 54   [16:40:29.403] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 55   [16:40:31.623] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 56   [16:40:31.627] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 4ms
Info 57   [16:40:31.627] Different program with same set of files:: oldProgram.structureIsReused:: 2
